Country,Year,HPI,HPIgrowth,post_2015,post_2019
Belgium,2005,72.85,NA,0,0
Belgium,2006,80,9.81468771448182,0,0
Belgium,2007,86.2,7.750000000000004,0,0
Belgium,2008,89.95,4.3503480278422275,0,0
Belgium,2009,89.58,-0.41133963312952143,0,0
Belgium,2010,91.6,2.2549676267023844,0,0
Belgium,2011,94.88,3.5807860262008746,0,0
Belgium,2012,97.11,2.350337268128166,0,0
Belgium,2013,98.55,1.4828544949026852,0,0
Belgium,2014,98.22,-0.3348554033485523,0,0
Belgium,2015,100,1.8122581958867858,0,0
Belgium,2016,102.33,2.3299999999999983,1,0
Belgium,2017,105.95,3.5375745138278165,1,0
Belgium,2018,109.15,3.0202925908447407,1,0
Belgium,2019,113.23,3.7379752633989902,1,0
Belgium,2020,118.09,4.292148723836439,1,1
Belgium,2021,125.96,6.664408501989999,1,1
Belgium,2022,132.93,5.5335026992696195,1,1
Belgium,2023,136.05,2.3470999774317343,1,1
Bulgaria,2005,80.09,-41.13193678794561,0,0
Bulgaria,2006,91.86,14.695967037083276,0,0
Bulgaria,2007,118.42,28.913564119312003,0,0
Bulgaria,2008,147.97,24.95355514271238,0,0
Bulgaria,2009,117.79,-20.396026221531386,0,0
Bulgaria,2010,105.81,-10.170642669156978,0,0
Bulgaria,2011,99.98,-5.509876193176447,0,0
Bulgaria,2012,98.07,-1.910382076415294,0,0
Bulgaria,2013,95.92,-2.192311614153147,0,0
Bulgaria,2014,97.29,1.428273561301089,0,0
Bulgaria,2015,100,2.785486689279467,0,0
Bulgaria,2016,107.02,7.019999999999996,1,0
Bulgaria,2017,116.3,8.671276396935154,1,0
Bulgaria,2018,123.96,6.586414445399826,1,0
Bulgaria,2019,131.42,6.018070345272664,1,0
Bulgaria,2020,137.41,4.5579059503880766,1,1
Bulgaria,2021,149.33,8.674768939669613,1,1
Bulgaria,2022,169.92,13.788254202102706,1,1
Bulgaria,2023,186.67,9.857580037664784,1,1
Czechia,2005,NA,NA,0,0
Czechia,2006,NA,NA,0,0
Czechia,2007,NA,NA,0,0
Czechia,2008,100.8,NA,0,0
Czechia,2009,96.9,-3.8690476190476106,0,0
Czechia,2010,95.2,-1.7543859649122835,0,0
Czechia,2011,95.3,0.10504201680671672,0,0
Czechia,2012,93.9,-1.4690451206715547,0,0
Czechia,2013,93.9,0,0,0
Czechia,2014,96.2,2.4494142705005295,0,0
Czechia,2015,100,3.950103950103947,0,0
Czechia,2016,107.2,7.200000000000002,1,0
Czechia,2017,119.7,11.66044776119403,1,0
Czechia,2018,130,8.604845446950707,1,0
Czechia,2019,141.9,9.153846153846159,1,0
Czechia,2020,153.9,8.456659619450317,1,1
Czechia,2021,184.2,19.68810916179336,1,1
Czechia,2022,215.3,16.88382193268188,1,1
Czechia,2023,211.7,-1.6720854621458534,1,1
Denmark,2005,82.93,-60.82664147378365,0,0
Denmark,2006,102.89,24.068491498854446,0,0
Denmark,2007,105.65,2.6824764311400573,0,0
Denmark,2008,100.19,-5.168007572172274,0,0
Denmark,2009,88.19,-11.977243237848088,0,0
Denmark,2010,90.66,2.800771062478738,0,0
Denmark,2011,89.12,-1.69865431281711,0,0
Denmark,2012,86.71,-2.704219030520658,0,0
Denmark,2013,90.09,3.8980509745127554,0,0
Denmark,2014,93.49,3.7740037740037646,0,0
Denmark,2015,100,6.963311584126651,0,0
Denmark,2016,104.57,4.569999999999993,1,0
Denmark,2017,109.75,4.953619584967014,1,0
Denmark,2018,114.59,4.410022779043284,1,0
Denmark,2019,117.13,2.216598307007585,1,0
Denmark,2020,122.18,4.311448817553156,1,1
Denmark,2021,136.28,11.540350302831882,1,1
Denmark,2022,142.7,4.710889345465209,1,1
Denmark,2023,137.28,-3.798177995795366,1,1
Germany,2005,83.3,-39.32109557109557,0,0
Germany,2006,83,-0.36014405762304585,0,0
Germany,2007,81.2,-2.168674698795177,0,0
Germany,2008,82.3,1.354679802955658,0,0
Germany,2009,83,0.8505467800729074,0,0
Germany,2010,83.9,1.0843373493975972,0,0
Germany,2011,86.8,3.4564958283670935,0,0
Germany,2012,89.8,3.4562211981566824,0,0
Germany,2013,92.6,3.1180400890868567,0,0
Germany,2014,95.5,3.131749460043203,0,0
Germany,2015,100,4.712041884816754,0,0
Germany,2016,107.5,7.5,1,0
Germany,2017,114.1,6.139534883720925,1,0
Germany,2018,121.7,6.660823838737957,1,0
Germany,2019,128.7,5.751848808545592,1,0
Germany,2020,138.7,7.770007770007771,1,1
Germany,2021,154.7,11.535688536409518,1,1
Germany,2022,162.5,5.042016806722697,1,1
Germany,2023,148.7,-8.4923076923077,1,1
Estonia,2005,59.01,-60.316072629455284,0,0
Estonia,2006,88.22,49.50008473140146,0,0
Estonia,2007,106.54,20.76626615279983,0,0
Estonia,2008,96.29,-9.620799699643326,0,0
Estonia,2009,60.47,-37.200124623533085,0,0
Estonia,2010,63.9,5.672234165702,0,0
Estonia,2011,69.32,8.482003129890446,0,0
Estonia,2012,74.37,7.285054818234293,0,0
Estonia,2013,82.29,10.64945542557483,0,0
Estonia,2014,93.58,13.719771539676742,0,0
Estonia,2015,100,6.860440265013894,0,0
Estonia,2016,104.75,4.75,1,0
Estonia,2017,110.51,5.4988066825775705,1,0
Estonia,2018,117.07,5.936114378789239,1,0
Estonia,2019,125.27,7.004356367984969,1,0
Estonia,2020,132.79,6.003033447752851,1,1
Estonia,2021,152.78,15.053844415995188,1,1
Estonia,2022,186.76,22.241131038093982,1,1
Estonia,2023,197.72,5.868494324266442,1,1
Ireland,2005,131.89,-33.294557960752584,0,0
Ireland,2006,151.5,14.86845098187885,0,0
Ireland,2007,162.81,7.465346534653467,0,0
Ireland,2008,151.51,-6.940605613905787,0,0
Ireland,2009,122.49,-19.15385123094185,0,0
Ireland,2010,105.96,-13.49497918197404,0,0
Ireland,2011,87.86,-17.081917704794257,0,0
Ireland,2012,76.04,-13.453221033462318,0,0
Ireland,2013,76.99,1.2493424513413842,0,0
Ireland,2014,89.72,16.534614885050015,0,0
Ireland,2015,100,11.457868925546146,0,0
Ireland,2016,107.46,7.459999999999995,1,0
Ireland,2017,119.14,10.869160617904344,1,0
Ireland,2018,131.33,10.231660231660241,1,0
Ireland,2019,134.41,2.3452371887611236,1,0
Ireland,2020,134.82,0.30503682761699025,1,1
Ireland,2021,145.98,8.277703604806407,1,1
Ireland,2022,163.96,12.316755719961652,1,1
Ireland,2023,168.99,3.0678214198585025,1,1
Spain,2005,NA,NA,0,0
Spain,2006,135.5,NA,0,0
Spain,2007,148.79,9.808118081180805,0,0
Spain,2008,146.66,-1.4315478190738595,0,0
Spain,2009,136.97,-6.607118505386607,0,0
Spain,2010,134.55,-1.7668102504197907,0,0
Spain,2011,124.27,-7.640282422891128,0,0
Spain,2012,105.9,-14.78232880019312,0,0
Spain,2013,96.24,-9.121813031161482,0,0
Spain,2014,96.54,0.31172069825437587,0,0
Spain,2015,100,3.5840066293764177,0,0
Spain,2016,104.62,4.6200000000000045,1,0
Spain,2017,111.1,6.193844389218112,1,0
Spain,2018,118.58,6.732673267326737,1,0
Spain,2019,124.71,5.169505818856464,1,0
Spain,2020,127.5,2.237190281452976,1,1
Spain,2021,132.19,3.678431372549018,1,1
Spain,2022,141.98,7.4060065057871185,1,1
Spain,2023,147.69,4.021693196224827,1,1
France,2005,84.72,-42.63660369693276,0,0
France,2006,94.51,11.555712936732775,0,0
France,2007,100.57,6.412019892074899,0,0
France,2008,101.52,0.9446156905637894,0,0
France,2009,95.32,-6.107171000788025,0,0
France,2010,99.74,4.637012169534203,0,0
France,2011,105.46,5.734910767996791,0,0
France,2012,104.88,-0.5499715531955228,0,0
France,2013,102.93,-1.859267734553765,0,0
France,2014,101.36,-1.5253084620616024,0,0
France,2015,100,-1.3417521704814517,0,0
France,2016,101.04,1.0400000000000063,1,0
France,2017,104.24,3.167062549485341,1,0
France,2018,107.29,2.9259401381427583,1,0
France,2019,110.86,3.3274303290148133,1,0
France,2020,116.62,5.195742377773773,1,1
France,2021,123.98,6.311095866918196,1,1
France,2022,131.82,6.32360058073882,1,1
France,2023,131.26,-0.4248217265968763,1,1
Croatia,2005,NA,NA,0,0
Croatia,2006,NA,NA,0,0
Croatia,2007,NA,NA,0,0
Croatia,2008,124.14,NA,0,0
Croatia,2009,117.93,-5.0024166263895555,0,0
Croatia,2010,110.47,-6.325786483507172,0,0
Croatia,2011,110.66,0.17199239612564293,0,0
Croatia,2012,108.93,-1.563347189589725,0,0
Croatia,2013,104.63,-3.94748921325623,0,0
Croatia,2014,102.98,-1.5769855681926708,0,0
Croatia,2015,100,-2.8937657797630645,0,0
Croatia,2016,100.89,0.8900000000000006,1,0
Croatia,2017,104.75,3.8259490534245213,1,0
Croatia,2018,111.14,6.100238663484488,1,0
Croatia,2019,121.1,8.961669965808884,1,0
Croatia,2020,130.38,7.663088356729976,1,1
Croatia,2021,139.91,7.309403282712074,1,1
Croatia,2022,160.69,14.852405117575584,1,1
Croatia,2023,179.88,11.9422490509677,1,1
Italy,2005,NA,NA,0,0
Italy,2006,NA,NA,0,0
Italy,2007,NA,NA,0,0
Italy,2008,NA,NA,0,0
Italy,2009,NA,NA,0,0
Italy,2010,118.1,NA,0,0
Italy,2011,119.7,1.3547840812870522,0,0
Italy,2012,116.7,-2.506265664160401,0,0
Italy,2013,109.1,-6.512425021422458,0,0
Italy,2014,104,-4.674610449129235,0,0
Italy,2015,100,-3.8461538461538463,0,0
Italy,2016,100.3,0.29999999999999716,1,0
Italy,2017,99.2,-1.0967098703888278,1,0
Italy,2018,98.6,-0.6048387096774279,1,0
Italy,2019,98.5,-0.10141987829614027,1,0
Italy,2020,100.4,1.92893401015229,1,1
Italy,2021,103,2.5896414342629424,1,1
Italy,2022,106.9,3.786407766990297,1,1
Italy,2023,108.3,1.3096351730589255,1,1
Cyprus,2005,97.06,-10.378578024007384,0,0
Cyprus,2006,108.57,11.858644137646806,0,0
Cyprus,2007,121.32,11.743575573362808,0,0
Cyprus,2008,128.17,5.646224859874708,0,0
Cyprus,2009,119.76,-6.561597877818509,0,0
Cyprus,2010,112.9,-5.728122912491649,0,0
Cyprus,2011,111.09,-1.603188662533217,0,0
Cyprus,2012,107.7,-3.051579800162031,0,0
Cyprus,2013,103.29,-4.094707520891362,0,0
Cyprus,2014,101.47,-1.7620292380675837,0,0
Cyprus,2015,100,-1.4487040504582624,0,0
Cyprus,2016,100.27,0.269999999999996,1,0
Cyprus,2017,102.52,2.2439413583325023,1,0
Cyprus,2018,104.32,1.755754974639092,1,0
Cyprus,2019,108.2,3.719325153374243,1,0
Cyprus,2020,107.98,-0.20332717190388064,1,1
Cyprus,2021,104.33,-3.3802556028894295,1,1
Cyprus,2022,107.13,2.6837918144349633,1,1
Cyprus,2023,110.27,2.931018388873332,1,1
Latvia,2005,NA,NA,0,0
Latvia,2006,104.48,NA,0,0
Latvia,2007,142.37,36.26531393568147,0,0
Latvia,2008,143.94,1.1027604130083537,0,0
Latvia,2009,90.24,-37.30721133805753,0,0
Latvia,2010,80.35,-10.959663120567377,0,0
Latvia,2011,88.73,10.429371499688873,0,0
Latvia,2012,91.36,2.9640482362222422,0,0
Latvia,2013,97.62,6.852014010507887,0,0
Latvia,2014,103.48,6.002868264699856,0,0
Latvia,2015,100,-3.362968689601859,0,0
Latvia,2016,108.49,8.489999999999995,1,0
Latvia,2017,118.01,8.775002304359859,1,0
Latvia,2018,129.3,9.566985848656898,1,0
Latvia,2019,140.88,8.955916473317853,1,0
Latvia,2020,145.77,3.471039182282804,1,1
Latvia,2021,161.65,10.89387391095561,1,1
Latvia,2022,184.01,13.832353850912455,1,1
Latvia,2023,190.89,3.7389272322156377,1,1
Lithuania,2005,NA,NA,0,0
Lithuania,2006,94.25,NA,0,0
Lithuania,2007,119.06,26.323607427055705,0,0
Lithuania,2008,129.76,8.987065345204089,0,0
Lithuania,2009,90.92,-29.93218249075215,0,0
Lithuania,2010,84.2,-7.391113066432027,0,0
Lithuania,2011,89.77,6.615201900237522,0,0
Lithuania,2012,89.56,-0.2339311574022432,0,0
Lithuania,2013,90.65,1.2170611880303746,0,0
Lithuania,2014,96.47,6.420297848869269,0,0
Lithuania,2015,100,3.6591686534674004,0,0
Lithuania,2016,105.4,5.400000000000006,1,0
Lithuania,2017,114.8,8.918406072106254,1,0
Lithuania,2018,123.18,7.2996515679442595,1,0
Lithuania,2019,131.61,6.843643448611793,1,0
Lithuania,2020,141.18,7.271483929792563,1,1
Lithuania,2021,163.84,16.050432072531517,1,1
Lithuania,2022,195.05,19.049072265625007,1,1
Lithuania,2023,214.2,9.8179953857985,1,1
Luxembourg,2005,NA,NA,0,0
Luxembourg,2006,NA,NA,0,0
Luxembourg,2007,74.42,NA,0,0
Luxembourg,2008,76.91,3.345874764848152,0,0
Luxembourg,2009,76.02,-1.157196723442986,0,0
Luxembourg,2010,80.14,5.419626414101558,0,0
Luxembourg,2011,83.09,3.6810581482405826,0,0
Luxembourg,2012,86.58,4.2002647731375555,0,0
Luxembourg,2013,90.89,4.97805497805498,0,0
Luxembourg,2014,94.88,4.38992188359555,0,0
Luxembourg,2015,100,5.396290050590224,0,0
Luxembourg,2016,106.01,6.010000000000005,1,0
Luxembourg,2017,111.96,5.6126780492406265,1,0
Luxembourg,2018,119.86,7.056091461236161,1,0
Luxembourg,2019,131.99,10.12014016352412,1,0
Luxembourg,2020,151.12,14.493522236533066,1,1
Luxembourg,2021,172.15,13.916093170989944,1,1
Luxembourg,2022,188.6,9.555620098751081,1,1
Luxembourg,2023,171.48,-9.07741251325557,1,1
Hungary,2005,NA,NA,0,0
Hungary,2006,NA,NA,0,0
Hungary,2007,98.91,NA,0,0
Hungary,2008,101.26,2.375897280355888,0,0
Hungary,2009,95.95,-5.243926525775234,0,0
Hungary,2010,93.66,-2.386659718603446,0,0
Hungary,2011,90.45,-3.4272901985906405,0,0
Hungary,2012,87.1,-3.703703703703713,0,0
Hungary,2013,84.87,-2.5602755453501604,0,0
Hungary,2014,88.43,4.1946506421585985,0,0
Hungary,2015,100,13.083795092163284,0,0
Hungary,2016,113.38,13.379999999999995,1,0
Hungary,2017,127.24,12.224378197212912,1,0
Hungary,2018,145.5,14.350833071361214,1,0
Hungary,2019,170.17,16.95532646048109,1,0
Hungary,2020,178.58,4.942116706822604,1,1
Hungary,2021,208.04,16.496808153208633,1,1
Hungary,2022,254.52,22.34185733512787,1,1
Hungary,2023,272.54,7.079993713657083,1,1
Malta,2005,58.43,-78.56094518235855,0,0
Malta,2006,70.04,19.8699298305665,0,0
Malta,2007,84.75,21.002284408909183,0,0
Malta,2008,94.14,11.079646017699115,0,0
Malta,2009,90.07,-4.323348204801367,0,0
Malta,2010,91.04,1.0769401576551718,0,0
Malta,2011,89.8,-1.3620386643233844,0,0
Malta,2012,92.54,3.051224944320723,0,0
Malta,2013,92.16,-0.41063323968014875,0,0
Malta,2014,94.51,2.549913194444454,0,0
Malta,2015,100,5.808909110147069,0,0
Malta,2016,105.45,5.450000000000003,1,0
Malta,2017,111.03,5.291607396870553,1,0
Malta,2018,117.45,5.782221021345584,1,0
Malta,2019,124.65,6.130268199233719,1,0
Malta,2020,128.86,3.3774568792619397,1,1
Malta,2021,135.44,5.106316933105683,1,1
Malta,2022,144.45,6.6523922031895975,1,1
Malta,2023,153.42,6.209761163032191,1,1
Netherlands,2005,106.3,-30.71307521835484,0,0
Netherlands,2006,110.82,4.252116650987767,0,0
Netherlands,2007,116.18,4.836672080851844,0,0
Netherlands,2008,118.74,2.203477362713021,0,0
Netherlands,2009,113.46,-4.4466902475998,0,0
Netherlands,2010,111.48,-1.7451084082495947,0,0
Netherlands,2011,109.27,-1.9824183710082595,0,0
Netherlands,2012,101.96,-6.689850828223669,0,0
Netherlands,2013,95.81,-6.031777167516665,0,0
Netherlands,2014,96.61,0.8349859096127723,0,0
Netherlands,2015,100,3.508953524479868,0,0
Netherlands,2016,105.29,5.290000000000006,1,0
Netherlands,2017,113.81,8.091936556178169,1,0
Netherlands,2018,124.4,9.304981987523067,1,0
Netherlands,2019,133.38,7.218649517684879,1,0
Netherlands,2020,144.07,8.014694856800118,1,1
Netherlands,2021,164.94,14.486013743319223,1,1
Netherlands,2022,186.84,13.277555474718083,1,1
Netherlands,2023,183.26,-1.9160779276386277,1,1
Austria,2005,NA,NA,0,0
Austria,2006,NA,NA,0,0
Austria,2007,NA,NA,0,0
Austria,2008,NA,NA,0,0
Austria,2009,NA,NA,0,0
Austria,2010,77.32,NA,0,0
Austria,2011,81.47,5.367304707708233,0,0
Austria,2012,86.86,6.61593224499816,0,0
Austria,2013,91.2,4.996546166244535,0,0
Austria,2014,94.68,3.8157894736842146,0,0
Austria,2015,100,5.6189269117025695,0,0
Austria,2016,106.71,6.709999999999994,1,0
Austria,2017,112.14,5.088557773404561,1,0
Austria,2018,118.83,5.965757089352593,1,0
Austria,2019,125.97,6.008583690987125,1,0
Austria,2020,135.52,7.581170119869819,1,1
Austria,2021,151.02,11.437426210153482,1,1
Austria,2022,168.49,11.56800423784929,1,1
Austria,2023,163.68,-2.854768829010625,1,1
Poland,2005,NA,NA,0,0
Poland,2006,NA,NA,0,0
Poland,2007,NA,NA,0,0
Poland,2008,NA,NA,0,0
Poland,2009,NA,NA,0,0
Poland,2010,105.61,NA,0,0
Poland,2011,105.7,0.08521920272701772,0,0
Poland,2012,102.01,-3.4910122989593164,0,0
Poland,2013,97.54,-4.381923340848935,0,0
Poland,2014,98.5,0.984211605495175,0,0
Poland,2015,100,1.5228426395939088,0,0
Poland,2016,101.86,1.8599999999999994,1,0
Poland,2017,105.78,3.84841939917534,1,0
Poland,2018,112.74,6.579693703913778,1,0
Poland,2019,122.52,8.674827035657266,1,0
Poland,2020,135.36,10.479921645445655,1,1
Poland,2021,147.77,9.168144208037821,1,1
Poland,2022,165.21,11.80212492386817,1,1
Poland,2023,179.78,8.819078748259786,1,1
Portugal,2005,NA,NA,0,0
Portugal,2006,NA,NA,0,0
Portugal,2007,NA,NA,0,0
Portugal,2008,107.53,NA,0,0
Portugal,2009,106.54,-0.9206733004742815,0,0
Portugal,2010,107.36,0.7696639759714596,0,0
Portugal,2011,102.09,-4.908718330849475,0,0
Portugal,2012,94.87,-7.072191203839748,0,0
Portugal,2013,93.09,-1.8762517128702447,0,0
Portugal,2014,97.04,4.2432055000537146,0,0
Portugal,2015,100,3.050288540807908,0,0
Portugal,2016,107.12,7.1200000000000045,1,0
Portugal,2017,117.02,9.24197162061239,1,0
Portugal,2018,129.03,10.263202871304056,1,0
Portugal,2019,141.88,9.958924281174916,1,0
Portugal,2020,154.33,8.775021144629276,1,1
Portugal,2021,168.84,9.401930927233842,1,1
Portugal,2022,190.17,12.633262260127923,1,1
Portugal,2023,205.76,8.197928169532526,1,1
Romania,2005,NA,NA,0,0
Romania,2006,NA,NA,0,0
Romania,2007,NA,NA,0,0
Romania,2008,NA,NA,0,0
Romania,2009,129.28,NA,0,0
Romania,2010,119.54,-7.534034653465342,0,0
Romania,2011,104.83,-12.305504433662378,0,0
Romania,2012,99.51,-5.074883144138122,0,0
Romania,2013,99.26,-0.2512310320570797,0,0
Romania,2014,97.22,-2.055208543219833,0,0
Romania,2015,100,2.859493931289859,0,0
Romania,2016,105.95,5.950000000000003,1,0
Romania,2017,112.36,6.050023596035863,1,0
Romania,2018,118.62,5.571377714489147,1,0
Romania,2019,122.69,3.43112459956162,1,0
Romania,2020,128.44,4.686608525552205,1,1
Romania,2021,134.09,4.398941139831833,1,1
Romania,2022,143.7,7.166828249683037,1,1
Romania,2023,148.43,3.29157967988867,1,1
Slovenia,2005,NA,NA,0,0
Slovenia,2006,NA,NA,0,0
Slovenia,2007,120.85,NA,0,0
Slovenia,2008,129.31,7.000413736036417,0,0
Slovenia,2009,117.06,-9.473358595622921,0,0
Slovenia,2010,117.21,0.12813941568425719,0,0
Slovenia,2011,120.39,2.7130790888149536,0,0
Slovenia,2012,112.09,-6.8942603206246345,0,0
Slovenia,2013,106.21,-5.245784637344999,0,0
Slovenia,2014,99.2,-6.600131814330093,0,0
Slovenia,2015,100,0.8064516129032229,0,0
Slovenia,2016,103.25,3.25,1,0
Slovenia,2017,111.79,8.271186440677972,1,0
Slovenia,2018,121.55,8.730655693711414,1,0
Slovenia,2019,129.69,6.696832579185521,1,0
Slovenia,2020,135.66,4.603284755956511,1,1
Slovenia,2021,151.32,11.543564794338785,1,1
Slovenia,2022,173.65,14.756806767116053,1,1
Slovenia,2023,186.22,7.238698531528934,1,1
Slovakia,2005,NA,NA,0,0
Slovakia,2006,75.99,NA,0,0
Slovakia,2007,98,28.964337412817486,0,0
Slovakia,2008,115.55,17.908163265306122,0,0
Slovakia,2009,100.82,-12.747728256166166,0,0
Slovakia,2010,97.06,-3.729418766117825,0,0
Slovakia,2011,95.6,-1.5042241912219327,0,0
Slovakia,2012,92.94,-2.7824267782426744,0,0
Slovakia,2013,93.69,0.8069722401549387,0,0
Slovakia,2014,94.96,1.355534208560141,0,0
Slovakia,2015,100,5.307497893850049,0,0
Slovakia,2016,106.67,6.670000000000003,1,0
Slovakia,2017,112.91,5.849817193212707,1,0
Slovakia,2018,121.32,7.448410238242846,1,0
Slovakia,2019,132.4,9.13287174414772,1,0
Slovakia,2020,145.02,9.531722054380667,1,1
Slovakia,2021,154.27,6.378430561301888,1,1
Slovakia,2022,175.41,13.703247552991499,1,1
Slovakia,2023,175.08,-0.18813066529843459,1,1
Finland,2005,76.25,-56.44848069453964,0,0
Finland,2006,81.56,6.96393442622951,0,0
Finland,2007,86.37,5.897498773908781,0,0
Finland,2008,87.06,0.7988885029524113,0,0
Finland,2009,88.31,1.4357914082242131,0,0
Finland,2010,93.88,6.307326463594149,0,0
Finland,2011,96.87,3.1849169152109176,0,0
Finland,2012,99.21,2.4156085475379263,0,0
Finland,2013,100.35,1.1490777139401276,0,0
Finland,2014,100,-0.34877927254608304,0,0
Finland,2015,100,0,0,0
Finland,2016,101.29,1.2900000000000063,1,0
Finland,2017,102.39,1.0859907197156622,1,0
Finland,2018,103.34,0.9278249829084898,1,0
Finland,2019,103.77,0.41610218695567314,1,0
Finland,2020,105.6,1.7635154668979458,1,1
Finland,2021,110.45,4.592803030303038,1,1
Finland,2022,111.75,1.1770031688546827,1,1
Finland,2023,105.41,-5.673378076062643,1,1
Sweden,2005,52.04,-50.63086993643867,0,0
Sweden,2006,58.46,12.336664104534977,0,0
Sweden,2007,65.74,12.452959288402315,0,0
Sweden,2008,66.47,1.1104350471554671,0,0
Sweden,2009,68.57,3.1593199939822387,0,0
Sweden,2010,73.97,7.875164065918049,0,0
Sweden,2011,75.87,2.5686088954981825,0,0
Sweden,2012,76.83,1.2653222617635347,0,0
Sweden,2013,80.79,5.1542366263178545,0,0
Sweden,2014,88.4,9.419482609233814,0,0
Sweden,2015,100,13.12217194570135,0,0
Sweden,2016,108.24,8.239999999999995,1,0
Sweden,2017,115.43,6.642645971914275,1,0
Sweden,2018,114.35,-0.9356319847526747,1,0
Sweden,2019,117.19,2.4836029733275065,1,0
Sweden,2020,122.11,4.198310436044032,1,1
Sweden,2021,134.46,10.113831791008113,1,1
Sweden,2022,139.25,3.56239773910456,1,1
Sweden,2023,131.93,-5.256732495511665,1,1
Iceland,2005,60.6,-54.06655044341697,0,0
Iceland,2006,70.79,16.815181518151824,0,0
Iceland,2007,77.44,9.393982200875817,0,0
Iceland,2008,82.26,6.224173553719018,0,0
Iceland,2009,74.28,-9.700948212983228,0,0
Iceland,2010,72.02,-3.0425417339795437,0,0
Iceland,2011,75.36,4.637600666481538,0,0
Iceland,2012,80.57,6.913481953290862,0,0
Iceland,2013,85.21,5.758967357577263,0,0
Iceland,2014,92.39,8.426241051519783,0,0
Iceland,2015,100,8.23682216690118,0,0
Iceland,2016,109.77,9.769999999999996,1,0
Iceland,2017,131.2,19.522638243600248,1,0
Iceland,2018,142.01,8.239329268292686,1,0
Iceland,2019,148.29,4.422223787057251,1,0
Iceland,2020,157.79,6.406365904646301,1,1
Iceland,2021,177.57,12.535648646935801,1,1
Iceland,2022,214.84,20.988905783634628,1,1
Iceland,2023,231.57,7.787190467324516,1,1
Norway,2005,54.24,-76.5772768493328,0,0
Norway,2006,61.66,13.67994100294984,0,0
Norway,2007,69.43,12.601362309438876,0,0
Norway,2008,68.69,-1.0658216909117226,0,0
Norway,2009,69.99,1.8925607803173639,0,0
Norway,2010,75.77,8.258322617516791,0,0
Norway,2011,81.95,8.156262372970842,0,0
Norway,2012,87.48,6.748017083587554,0,0
Norway,2013,91.24,4.298125285779596,0,0
Norway,2014,93.74,2.740026304252521,0,0
Norway,2015,100,6.678045658203548,0,0
Norway,2016,107.88,7.8799999999999955,1,0
Norway,2017,113.75,5.441230997404528,1,0
Norway,2018,115.53,1.564835164835166,1,0
Norway,2019,120.18,4.024928589976634,1,0
Norway,2020,126.11,4.934265268763515,1,1
Norway,2021,137.66,9.158671001506619,1,1
Norway,2022,145.71,5.84774081069302,1,1
Norway,2023,147.63,1.317685814288647,1,1
Switzerland,2005,NA,NA,0,0
Switzerland,2006,NA,NA,0,0
Switzerland,2007,NA,NA,0,0
Switzerland,2008,NA,NA,0,0
Switzerland,2009,NA,NA,0,0
Switzerland,2010,NA,NA,0,0
Switzerland,2011,NA,NA,0,0
Switzerland,2012,NA,NA,0,0
Switzerland,2013,NA,NA,0,0
Switzerland,2014,NA,NA,0,0
Switzerland,2015,NA,NA,0,0
Switzerland,2016,NA,NA,1,0
Switzerland,2017,NA,NA,1,0
Switzerland,2018,NA,NA,1,0
Switzerland,2019,NA,NA,1,0
Switzerland,2020,NA,NA,1,1
Switzerland,2021,NA,NA,1,1
Switzerland,2022,NA,NA,1,1
Switzerland,2023,NA,NA,1,1
